text,language
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
I am feeling great today,English
Let's go to the park,English
I am reading a good book,English
See you tomorrow,English
"Hello, how are you?",English
My name is Teddy,English
I love learning new things,English
This is a beautiful day,English
Can you help me please?,English
What time is it?,English
